country,years,students,gdp,expenditure
Afghanistan,2013,12003,20458939155,4.57999992371
Afghanistan,2012,9686,20536542737,3.13000011444
Afghanistan,2011,9429,17930239400,4.09000015259
Afghanistan,2010,7865,15936800636,4.51000022888
Albania,2013,24147,12781029643,3.5
Albania,2007,19930,10701011896,3.26999998093
Albania,2006,17465,8992642349,3.1099998951
Albania,2005,15240,8158548717,3.15000009537
Albania,2004,13645,7314865176,3.1099998951
Albania,2003,11475,5746945913,3.11999988556
Albania,2002,8608,4435078648,3.04999995232
Albania,2001,7386,4060758804,3.31999993324
Albania,2000,5827,3632043908,3.24000000954
Albania,1999,4685,3414760915,3.3599998951
Albania,1998,4596,2707123772,3.29999995232
Algeria,2008,21987,171001000000,4.34000015259
Andorra,2013,1177,3249100675,2.46000003815
Andorra,2011,1377,3427235709,3.16000008583
Andorra,2010,1249,3346317329,3.06999993324
Andorra,2009,1314,3649863493,3.16000008583
Andorra,2008,1200,4001349340,2.93000006676
Andorra,2007,991,4010785102,2.06999993324
Andorra,2006,305,3536451646,2.19000005722
Andorra,2005,1085,3248134607,1.60000002384
Andorra,2004,1224,2916913449,1.52999997139
Andorra,2002,714,1717563533,1.70000004768
Angola,2010,7916,83369475451,3.48000001907
Angola,2006,8268,52381006892,2.8599998951
Angola,2005,8020,36970918699,2.77999997139
Angola,2000,5359,9129634978,2.6099998951
Angola,1998,5193,6445427699,2.58999991417
Antigua and Barbuda,2009,673,1206410370,2.54999995232
Antigua and Barbuda,2002,566,802529333,3.45000004768
Antigua and Barbuda,1999,442,651851852,3.24000000954
Argentina,2013,7166,614384000000,5.34000015259
Argentina,2012,8072,604378000000,5.09999990463
Argentina,2011,9320,557890000000,4.98999977112
Argentina,2010,9753,461640000000,4.61000013351
Argentina,2009,9034,376628000000,4.88999986649
Argentina,2008,9304,403782000000,4.34000015259
Argentina,2007,8345,329318000000,3.90000009537
Argentina,2006,8327,262667000000,3.65000009537
Argentina,2005,8277,220814000000,3.47000002861
Argentina,2004,8316,181873000000,3.16000008583
Argentina,2003,9495,127586000000,3.53999996185
Argentina,2002,7958,97724513456,4.01999998093
Argentina,2001,6875,268697000000,4.82999992371
Argentina,2000,6887,284204000000,4.57999992371
Argentina,1999,5862,283523000000,4.51999998093
Argentina,1998,5717,298948000000,4.03999996185
Armenia,2013,6493,11121465767,2.82999992371
Armenia,2012,6719,10619320049,3.27999997139
Armenia,2011,6906,10142111334,3.1400001049
Armenia,2010,6267,9260284938,3.25
Armenia,2009,5417,8647936748,3.83999991417
Armenia,2008,5298,11662040714,3.17000007629
Armenia,2007,3914,9206301700,3.01999998093
Armenia,2006,3751,6384451606,2.72000002861
Armenia,2005,3428,4900469515,2.71000003815
Armenia,2004,2880,3576615240,2.49000000954
Armenia,2003,3151,2807061009,2.15000009537
Armenia,2002,2331,2376335048,2.1400001049
Armenia,2001,2419,2118467913,2.47000002861
Armenia,2000,1990,1911563665,2.76999998093
Armenia,1999,1826,1845482181,2.24000000954
Aruba,2011,128,2584463687,6.03999996185
Aruba,2010,398,2467703911,6.71000003815
Aruba,2009,200,2498932961,5.92000007629
Aruba,2008,86,2791960894,4.92000007629
Aruba,2007,143,2623726257,4.80000019073
Aruba,2005,111,2331005587,4.67999982834
Aruba,2004,202,2228279330,4.40999984741
Aruba,2002,278,1941094972,4.92000007629
Aruba,2001,109,1920262570,4.73999977112
Aruba,2000,125,1873452514,4.71000003815
Aruba,1999,81,1722798883,4.40000009537
Aruba,1998,125,1665363128,4.76000022888
Australia,2012,11084,1537480000000,4.90999984741
Australia,2011,10807,1389920000000,5.11000013351
Australia,2010,10629,1142250000000,5.57000017166
Australia,2009,10243,926564000000,5.09000015259
Australia,2008,9814,1054560000000,4.63000011444
Australia,2007,10285,853053000000,4.65999984741
Australia,2006,9787,746881000000,4.73999977112
Australia,2005,9477,693075000000,4.90999984741
Australia,2000,5475,414952000000,4.88999986649
Austria,2012,15221,407373000000,5.44999980927
Austria,2011,13876,429011000000,5.61999988556
Austria,2010,12815,390235000000,5.73000001907
Austria,2009,11581,397594000000,5.76999998093
Austria,2008,10232,427612000000,5.30000019073
Austria,2007,10478,386459000000,5.17999982834
Austria,2006,9938,334309000000,5.25
Austria,2005,11576,314649000000,5.26999998093
Austria,2004,12166,299857000000,5.32000017166
Austria,2003,12998,260721000000,5.38000011444
Austria,2002,12596,212971000000,5.53000020981
Austria,2001,11968,196954000000,5.59000015259
Austria,2000,11862,196422000000,5.59999990463
Austria,1999,11742,216725000000,6.13000011444
Austria,1998,11573,217684000000,6.11999988556
Azerbaijan,2013,22007,73560484385,2.46000003815
Azerbaijan,2012,16797,68730906314,2.09999990463
Azerbaijan,2011,19018,65951627200,2.44000005722
Azerbaijan,2010,14296,52902703376,2.77999997139
Azerbaijan,2009,10061,44291490421,3.22000002861
Azerbaijan,2008,7246,48852482960,2.44000005722
Azerbaijan,2007,4832,33050343783,2.54999995232
Azerbaijan,2006,4564,20983019924,2.55999994278
Azerbaijan,2005,4115,13245421881,2.97000002861
Azerbaijan,2004,3883,8680511918,3.45000004768
Azerbaijan,2003,5761,7275766111,3.28999996185
Azerbaijan,2002,5990,6236024951,3.15000009537
Azerbaijan,2001,3806,5707618247,3.5
Azerbaijan,2000,4629,5272617196,3.84999990463
Azerbaijan,1999,4652,4581222442,4.21000003815
Azerbaijan,1998,4607,4446396218,3.38000011444
Bahrain,2012,4106,30756462766,2.6400001049
Bahrain,2008,3872,25710877660,2.5
Bahrain,2007,3589,21730000000,2.57999992371
Bahrain,2006,3433,18505053191,2.86999988556
Bangladesh,2013,24112,149990000000,1.97000002861
Bangladesh,2012,22690,133356000000,2.04999995232
Bangladesh,2009,19346,102478000000,1.94000005722
Bangladesh,2008,16609,91631278239,2.04999995232
Bangladesh,2007,15757,79611888213,2.20000004768
Bangladesh,2006,14524,71819083684,2.13000011444
Bangladesh,2004,14487,65108544250,1.94000005722
Bangladesh,2003,15380,60158929188,2.06999993324
Bangladesh,2002,11575,54724081491,2.01999998093
Bangladesh,2001,9416,53991289844,2.17000007629
Bangladesh,2000,7908,53369787319,2.13000011444
Bangladesh,1999,7169,51270569884,2.13000011444
Barbados,2013,1204,4281000000,5.5
Barbados,2012,1179,4313000000,5.61999988556
Barbados,2010,1286,4445500000,5.86999988556
Barbados,2009,1395,4602000000,5.32999992371
Barbados,2008,1379,4595000000,5.05999994278
Barbados,2007,1524,4546000000,5.11999988556
Barbados,2005,1663,3897500000,5.55999994278
Barbados,2004,1590,3514500000,5.90999984741
Barbados,2003,1583,3275000000,6.11999988556
Barbados,2002,1517,3169500000,5.76999998093
Barbados,2001,1383,3116500000,5.94000005722
Barbados,2000,1433,3121500000,4.61999988556
Barbados,1999,1261,3011982170,4.25
Belarus,2013,35898,73097619637,5.17999982834
Belarus,2012,41629,63615445567,5.11999988556
Belarus,2011,40430,59734593905,4.84000015259
Belarus,2010,34843,55220932614,5.40999984741
Belarus,2009,28541,49208656976,4.51999998093
Belarus,2007,14835,45275747861,5.15000009537
Belarus,2006,12324,36961821894,6.07999992371
Belarus,2005,11313,30210091837,5.86999988556
Belarus,2004,10590,23141587718,5.71000003815
Belarus,2000,6686,12736856485,6.19999980927
Belarus,1999,6221,12138485329,6.0
Belgium,2011,12247,526975000000,6.36999988556
Belgium,2010,11236,483577000000,6.40000009537
Belgium,2009,10414,484553000000,6.40000009537
Belgium,2008,9834,518626000000,6.26999998093
Belgium,2007,10584,471822000000,5.84000015259
Belgium,2006,10441,409813000000,5.82999992371
Belgium,2005,9963,387366000000,5.78000020981
Belgium,2004,10086,370885000000,5.80999994278
Belgium,2003,11885,319003000000,5.88999986649
Belgium,2002,10882,258860000000,5.96000003815
Belgium,2001,10557,237842000000,5.84999990463
Belize,2013,755,1624294250,6.21999979019
Belize,2010,867,1397113450,6.61999988556
Belize,2009,886,1336957250,6.09999990463
Belize,2008,871,1368625150,5.69000005722
Belize,2004,841,1057850000,5.30000019073
Belize,2003,769,990350000,5.21000003815
Belize,2001,695,871860611,5.80000019073
Belize,2000,682,832072465,5.03000020981
Belize,1999,556,732732353,5.44000005722
Benin,2013,4095,9110800745,5.01000022888
Benin,2012,3967,8117100934,5.26000022888
Benin,2010,4109,6970240895,5.34000015259
Benin,2009,3984,7097198712,4.55000019073
Benin,2008,4250,7132787397,4.07999992371
Benin,2007,4201,5969535132,3.5
Benin,2006,4366,5142380779,3.82999992371
Benin,2005,4002,4803702821,4.0
Benin,2004,3815,4521424807,3.92000007629
Benin,2003,3675,3905366188,3.43000006676
Benin,2002,3001,3054571082,3.21000003815
