"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2014","Not applicable","Not applicable","Percent","4.6191"
"Afghanistan","2013","Not applicable","Not applicable","Percent","4.57747"
"Afghanistan","2012","Not applicable","Not applicable","Percent","3.12561"
"Afghanistan","2011","Not applicable","Not applicable","Percent","4.08791"
"Afghanistan","2010","Not applicable","Not applicable","Percent","4.51116"
"Afghanistan","1982","Not applicable","Not applicable","Percent","1.72998"
"Afghanistan","1981","Not applicable","Not applicable","Percent","1.90917"
"Afghanistan","1980","Not applicable","Not applicable","Percent","1.84093"
"Afghanistan","1979","Not applicable","Not applicable","Percent","1.73981"
"Afghanistan","1975","Not applicable","Not applicable","Percent","1.30332"
"Albania","2013","Not applicable","Not applicable","Percent","3.50083"
"Albania","2007","Not applicable","Not applicable","Percent","3.26868"
"Albania","2006","Not applicable","Not applicable","Percent","3.10882"
"Albania","2005","Not applicable","Not applicable","Percent","3.15439"
"Albania","2004","Not applicable","Not applicable","Percent","3.10656"
"Albania","2003","Not applicable","Not applicable","Percent","3.11557"
"Albania","2002","Not applicable","Not applicable","Percent","3.04681"
"Albania","2001","Not applicable","Not applicable","Percent","3.31589"
"Albania","2000","Not applicable","Not applicable","Percent","3.23823"
"Albania","1999","Not applicable","Not applicable","Percent","3.36038"
"Albania","1998","Not applicable","Not applicable","Percent","3.30127"
"Albania","1997","Not applicable","Not applicable","Percent","3.47532"
"Albania","1996","Not applicable","Not applicable","Percent","3.27428"
"Albania","1995","Not applicable","Not applicable","Percent","3.76471"
"Albania","1994","Not applicable","Not applicable","Percent","3.26519"
"Algeria","2008","Not applicable","Not applicable","Percent","4.33702"
"Algeria","1980","Not applicable","Not applicable","Percent","6.59742"
"Algeria","1979","Not applicable","Not applicable","Percent","7.18201"
"Andorra","2013","Not applicable","Not applicable","Percent","2.46258"
"Andorra","2011","Not applicable","Not applicable","Percent","3.15889"
"Andorra","2010","Not applicable","Not applicable","Percent","3.0658"
"Andorra","2009","Not applicable","Not applicable","Percent","3.16387"
"Andorra","2008","Not applicable","Not applicable","Percent","2.93457"
"Andorra","2007","Not applicable","Not applicable","Percent","2.07405"
"Andorra","2006","Not applicable","Not applicable","Percent","2.19399"
"Andorra","2005","Not applicable","Not applicable","Percent","1.60025"
"Andorra","2004","Not applicable","Not applicable","Percent","1.53254"
"Andorra","2002","Not applicable","Not applicable","Percent","1.69684"
"Andorra","1997","Not applicable","Not applicable","Percent","3.71328"
"Angola","2010","Not applicable","Not applicable","Percent","3.47644"
"Angola","2006","Not applicable","Not applicable","Percent","2.85969"
"Angola","2005","Not applicable","Not applicable","Percent","2.7762"
"Angola","2000","Not applicable","Not applicable","Percent","2.60753"
"Angola","1998","Not applicable","Not applicable","Percent","2.59149"
"Angola","1987","Not applicable","Not applicable","Percent","6.1175"
"Angola","1986","Not applicable","Not applicable","Percent","6.0545"
"Angola","1985","Not applicable","Not applicable","Percent","4.622"
"Antigua and Barbuda","2009","Not applicable","Not applicable","Percent","2.55447"
"Antigua and Barbuda","2002","Not applicable","Not applicable","Percent","3.44539"
"Antigua and Barbuda","1999","Not applicable","Not applicable","Percent","3.23707"
"Argentina","2013","Not applicable","Not applicable","Percent","5.3441"
"Argentina","2012","Not applicable","Not applicable","Percent","5.09905"
"Argentina","2011","Not applicable","Not applicable","Percent","4.98632"
"Argentina","2010","Not applicable","Not applicable","Percent","4.60637"
"Argentina","2009","Not applicable","Not applicable","Percent","4.89"
"Argentina","2008","Not applicable","Not applicable","Percent","4.33782"
"Argentina","2007","Not applicable","Not applicable","Percent","3.89635"
"Argentina","2006","Not applicable","Not applicable","Percent","3.65499"
"Argentina","2005","Not applicable","Not applicable","Percent","3.47405"
"Argentina","2004","Not applicable","Not applicable","Percent","3.15654"
"Argentina","2003","Not applicable","Not applicable","Percent","3.53505"
"Argentina","2002","Not applicable","Not applicable","Percent","4.01734"
"Argentina","2001","Not applicable","Not applicable","Percent","4.83374"
"Argentina","2000","Not applicable","Not applicable","Percent","4.58031"
"Argentina","1999","Not applicable","Not applicable","Percent","4.52168"
"Argentina","1998","Not applicable","Not applicable","Percent","4.03987"
"Argentina","1996","Not applicable","Not applicable","Percent","3.73198"
"Argentina","1990","Not applicable","Not applicable","Percent","1.06738"
"Argentina","1989","Not applicable","Not applicable","Percent","1.04612"
"Argentina","1987","Not applicable","Not applicable","Percent","1.2823"
"Argentina","1986","Not applicable","Not applicable","Percent","1.26155"
"Argentina","1985","Not applicable","Not applicable","Percent","1.36186"
"Argentina","1984","Not applicable","Not applicable","Percent","2.56972"
"Argentina","1983","Not applicable","Not applicable","Percent","1.6175"
"Argentina","1982","Not applicable","Not applicable","Percent","1.59787"
"Argentina","1980","Not applicable","Not applicable","Percent","2.60715"
"Argentina","1979","Not applicable","Not applicable","Percent","2.40028"
"Argentina","1978","Not applicable","Not applicable","Percent","1.93555"
"Argentina","1977","Not applicable","Not applicable","Percent","1.71984"
"Argentina","1976","Not applicable","Not applicable","Percent","1.16564"
"Argentina","1975","Not applicable","Not applicable","Percent","1.8436"
"Armenia","2014","Not applicable","Not applicable","Percent","2.39756"
"Armenia","2013","Not applicable","Not applicable","Percent","2.82555"
"Armenia","2012","Not applicable","Not applicable","Percent","3.27524"
"Armenia","2011","Not applicable","Not applicable","Percent","3.14385"
"Armenia","2010","Not applicable","Not applicable","Percent","3.249"
"Armenia","2009","Not applicable","Not applicable","Percent","3.84079"
"Armenia","2008","Not applicable","Not applicable","Percent","3.17273"
"Armenia","2007","Not applicable","Not applicable","Percent","3.01894"
"Armenia","2006","Not applicable","Not applicable","Percent","2.71577"
"Armenia","2005","Not applicable","Not applicable","Percent","2.71203"
"Armenia","2004","Not applicable","Not applicable","Percent","2.48673"
"Armenia","2003","Not applicable","Not applicable","Percent","2.14504"
"Armenia","2002","Not applicable","Not applicable","Percent","2.13504"
"Armenia","2001","Not applicable","Not applicable","Percent","2.46944"
"Armenia","2000","Not applicable","Not applicable","Percent","2.77273"
"Armenia","1999","Not applicable","Not applicable","Percent","2.23519"
"Armenia","1996","Not applicable","Not applicable","Percent","1.84843"
"Aruba","2011","Not applicable","Not applicable","Percent","6.03687"
"Aruba","2010","Not applicable","Not applicable","Percent","6.71249"
"Aruba","2009","Not applicable","Not applicable","Percent","5.92467"
"Aruba","2008","Not applicable","Not applicable","Percent","4.91559"
"Aruba","2007","Not applicable","Not applicable","Percent","4.79918"
"Aruba","2005","Not applicable","Not applicable","Percent","4.68076"
"Aruba","2004","Not applicable","Not applicable","Percent","4.4089"
"Aruba","2002","Not applicable","Not applicable","Percent","4.92427"
"Aruba","2001","Not applicable","Not applicable","Percent","4.73949"
"Aruba","2000","Not applicable","Not applicable","Percent","4.71468"
"Aruba","1999","Not applicable","Not applicable","Percent","4.39554"
"Aruba","1998","Not applicable","Not applicable","Percent","4.76316"
"Australia","2012","Not applicable","Not applicable","Percent","4.90641"
"Australia","2011","Not applicable","Not applicable","Percent","5.10608"
"Australia","2010","Not applicable","Not applicable","Percent","5.57355"
"Australia","2009","Not applicable","Not applicable","Percent","5.0942"
"Australia","2008","Not applicable","Not applicable","Percent","4.63339"
"Australia","2007","Not applicable","Not applicable","Percent","4.65902"
"Australia","2006","Not applicable","Not applicable","Percent","4.74288"
"Australia","2005","Not applicable","Not applicable","Percent","4.91079"
"Australia","2000","Not applicable","Not applicable","Percent","4.89425"
"Australia","1996","Not applicable","Not applicable","Percent","5.22949"
"Australia","1995","Not applicable","Not applicable","Percent","5.11983"
"Australia","1994","Not applicable","Not applicable","Percent","5.24659"
"Australia","1993","Not applicable","Not applicable","Percent","5.50915"
"Australia","1992","Not applicable","Not applicable","Percent","4.68764"
"Australia","1991","Not applicable","Not applicable","Percent","4.7922"
"Australia","1990","Not applicable","Not applicable","Percent","4.67311"
"Australia","1989","Not applicable","Not applicable","Percent","4.74656"
"Australia","1988","Not applicable","Not applicable","Percent","4.91693"
"Australia","1987","Not applicable","Not applicable","Percent","5.07005"
"Australia","1986","Not applicable","Not applicable","Percent","5.28119"
"Australia","1985","Not applicable","Not applicable","Percent","5.40571"
"Australia","1983","Not applicable","Not applicable","Percent","5.3744"
"Australia","1982","Not applicable","Not applicable","Percent","5.48238"
"Australia","1980","Not applicable","Not applicable","Percent","5.65847"
"Australia","1979","Not applicable","Not applicable","Percent","5.90194"
"Australia","1978","Not applicable","Not applicable","Percent","6.0136"
"Austria","2012","Not applicable","Not applicable","Percent","5.45065"
"Austria","2011","Not applicable","Not applicable","Percent","5.61861"
"Austria","2010","Not applicable","Not applicable","Percent","5.7332"
"Austria","2009","Not applicable","Not applicable","Percent","5.7674"
"Austria","2008","Not applicable","Not applicable","Percent","5.29698"
"Austria","2007","Not applicable","Not applicable","Percent","5.17663"
"Austria","2006","Not applicable","Not applicable","Percent","5.25293"
"Austria","2005","Not applicable","Not applicable","Percent","5.27148"
"Austria","2004","Not applicable","Not applicable","Percent","5.32094"
"Austria","2003","Not applicable","Not applicable","Percent","5.38187"
"Austria","2002","Not applicable","Not applicable","Percent","5.53269"
"Austria","2001","Not applicable","Not applicable","Percent","5.58635"
"Austria","2000","Not applicable","Not applicable","Percent","5.59957"
"Austria","1999","Not applicable","Not applicable","Percent","6.12533"
"Austria","1998","Not applicable","Not applicable","Percent","6.1199"
"Austria","1996","Not applicable","Not applicable","Percent","5.27168"
"Austria","1995","Not applicable","Not applicable","Percent","5.44146"
"Austria","1993","Not applicable","Not applicable","Percent","5.26468"
"Austria","1992","Not applicable","Not applicable","Percent","5.30977"
"Austria","1991","Not applicable","Not applicable","Percent","5.11554"
"Austria","1990","Not applicable","Not applicable","Percent","4.96923"
"Austria","1989","Not applicable","Not applicable","Percent","5.03029"
"Austria","1988","Not applicable","Not applicable","Percent","5.20327"
"Austria","1987","Not applicable","Not applicable","Percent","5.38909"
"Austria","1986","Not applicable","Not applicable","Percent","5.51324"
"Austria","1985","Not applicable","Not applicable","Percent","5.31"
"Austria","1984","Not applicable","Not applicable","Percent","5.30726"
"Austria","1983","Not applicable","Not applicable","Percent","5.31659"
"Austria","1982","Not applicable","Not applicable","Percent","5.37594"
"Austria","1981","Not applicable","Not applicable","Percent","5.38077"
"Austria","1980","Not applicable","Not applicable","Percent","5.02107"
"Austria","1979","Not applicable","Not applicable","Percent","5.05033"
