Country or Area,Year,Value,
Afghanistan,2014,20038215159,
Afghanistan,2013,20458939155,
Afghanistan,2012,20536542737,
Afghanistan,2011,17930239400,
Afghanistan,2010,15936800636,
Afghanistan,2009,12486943506,
Afghanistan,2008,10190529882,
Afghanistan,2007,9843842455,
Afghanistan,2006,7057598407,
Afghanistan,2005,6275076016,
Afghanistan,2004,5285461999,
Afghanistan,2003,4583648922,
Afghanistan,2002,4128818042,
Afghanistan,2001,2461666315,
Afghanistan,1981,3478787910,
Afghanistan,1980,3641723447,
Afghanistan,1979,3697940345,
Afghanistan,1978,3300000108,
Afghanistan,1977,2953333419,
Afghanistan,1976,2555555567,
Afghanistan,1975,2366666615,
Afghanistan,1974,2155555499,
Afghanistan,1973,1733333265,
Afghanistan,1972,1595555476,
Afghanistan,1971,1831108972,
Afghanistan,1970,1748886596,
Afghanistan,1969,1408888923,
Afghanistan,1968,1373333367,
Afghanistan,1967,1673333419,
Afghanistan,1966,1399999966,
Afghanistan,1965,1006666638,
Afghanistan,1964,800000045.5,
Afghanistan,1963,751111190.8,
Afghanistan,1962,546666678,
Afghanistan,1961,548888894.6,
Afghanistan,1960,537777811.9,
Albania,2014,13211513726,
Albania,2013,12781029643,
Albania,2012,12319784787,
Albania,2011,12890867538,
Albania,2010,11926953259,
Albania,2009,12044212904,
Albania,2008,12881352688,
Albania,2007,10701011896,
Albania,2006,8992642349,
Albania,2005,8158548717,
Albania,2004,7314865176,
Albania,2003,5746945913,
Albania,2002,4435078648,
Albania,2001,4060758804,
Albania,2000,3632043908,
Albania,1999,3414760915,
Albania,1998,2707123772,
Albania,1997,2359903108,
Albania,1996,3314898291,
Albania,1995,2424499009,
Albania,1994,1985673798,
Albania,1993,1228071038,
Albania,1992,709452583.9,
Albania,1991,1139166646,
Albania,1990,2101624963,
Albania,1989,2335124988,
Albania,1988,2126000000,
Albania,1987,2156624900,
Albania,1986,2173750013,
Albania,1985,1965384586,
Albania,1984,1924242453,
Algeria,2014,2.13518E+11,
Algeria,2013,2.09704E+11,
Algeria,2012,2.09047E+11,
Algeria,2011,2.00013E+11,
Algeria,2010,1.61207E+11,
Algeria,2009,1.37211E+11,
Algeria,2008,1.71001E+11,
Algeria,2007,1.34977E+11,
Algeria,2006,1.17027E+11,
Algeria,2005,1.03198E+11,
Algeria,2004,85324998959,
Algeria,2003,67863829705,
Algeria,2002,56760288396,
Algeria,2001,54744714110,
Algeria,2000,54790060513,
Algeria,1999,48640611686,
Algeria,1998,48187747529,
Algeria,1997,48177862502,
Algeria,1996,46941496780,
Algeria,1995,41764052458,
Algeria,1994,42542571306,
Algeria,1993,49946455211,
Algeria,1992,48003298223,
Algeria,1991,45715367087,
Algeria,1990,62045098375,
Algeria,1989,55631488295,
Algeria,1988,59089065518,
Algeria,1987,66742269086,
Algeria,1986,63696299981,
Algeria,1985,57937867712,
